AENC;NUMC;NIND;ELEP;TH;CAPITAL;SEXO;EDAD;LNAC;NACI;NIVI;LEST3;RELA;TIPF;TGRU;SVIDA;SRELA;STGUS;SECON;SVIVI;SZONA;SRECR;STRAB;STIEM;MERECE;HABLAR;AYFAM;TENSO;MORAL;CALMA;DEPRE;FELIZ;CPER;CPOL;CJUS;CERTZ;SENSE;SVIVENT;SHOGTR;ANIMO;RELPER;CPUBLI;SITEC1;SAPER;RELFA1
2024;819;3;395,54495;01;01059;6;01;1;1;;1;3;4;2;7;7;7;7;8;8;8;97;;5;1;1;3;3;4;3;2;5;4;4;1;3;7;7;5;7;3;3;1;1
2024;820;1;119,97359;01;01059;1;07;4;1;;1;3;1;1;7;7;10;10;10;10;7;97;;10;1;1;4;5;1;4;2;7;5;9;9;2;8;10;8;7;8;3;2;4
2024;821;1;239,94719;01;01059;1;07;4;1;;1;3;3;3;2;5;5;5;5;5;5;97;;5;1;1;3;2;4;2;4;5;5;5;5;4;4;5;3;7;5;3;2;4
2024;822;4;539,19153;01;01059;1;01;1;1;;2;3;4;2;8;8;8;8;8;8;8;97;;9;1;1;4;5;2;5;2;8;0;2;7;4;7;8;8;8;3;1;1;1
2024;823;3;659,24159;01;01059;6;01;1;1;;3;1;4;2;8;9;9;9;10;10;10;8;10;9;1;1;4;4;3;4;3;6;8;6;8;2;9;9;6;8;7;3;1;1
2024;826;1;365,56162;01;01059;1;04;1;1;;3;1;4;2;9;9;8;8;8;8;8;9;9;9;1;1;3;4;2;5;2;8;6;8;8;1;8;9;7;8;7;3;2;1
2024;827;1;142,43972;01;01059;6;06;4;1;;3;3;1;1;8;8;8;8;8;8;8;97;;8;1;1;4;4;2;4;2;7;3;3;3;2;8;8;7;8;3;3;2;1
2024;829;1;239,94719;01;01059;1;07;4;1;;1;3;3;3;8;10;10;10;10;10;10;97;;10;1;1;3;3;3;3;3;9;5;4;6;1;10;10;5;8;5;3;1;1
2024;831;1;364,96772;01;01059;6;03;4;1;;1;1;3;3;8;7;5;7;7;8;8;8;7;8;1;1;3;4;2;4;3;6;1;6;7;2;7;7;6;7;5;3;1;1
2024;832;1;142,43972;01;01059;6;06;4;1;;3;3;1;1;8;8;8;8;8;5;5;97;;9;1;1;4;5;2;4;2;7;4;4;7;3;6;8;7;8;5;3;2;1
2024;835;5;152,04549;01;01059;6;02;5;6;;1;1;1;1;8;10;7;5;7;6;6;6;4;10;1;1;3;3;3;3;1;7;6;7;9;3;6;5;6;8;7;1;1;1
2024;836;1;119,97359;01;01059;1;06;1;1;;2;3;1;1;7;7;8;6;6;6;7;97;;7;1;1;5;5;2;5;2;5;6;5;5;3;6;6;8;7;5;3;3;1
2024;838;1;243,70775;01;01059;1;05;1;1;;2;3;3;3;10;10;10;10;10;10;10;97;;9;1;1;5;5;1;5;1;9;0;0;2;1;10;10;9;8;1;3;1;1
2024;839;1;324,93427;01;01059;1;04;1;1;;3;1;3;3;9;9;10;9;9;8;8;7;5;8;1;1;5;5;1;5;2;4;0;2;5;2;8;7;9;8;2;3;3;1
2024;840;2;243,70775;01;01059;1;05;1;1;;1;3;3;3;8;8;8;8;8;8;8;97;;8;1;1;3;4;3;3;2;7;4;4;7;1;8;8;6;8;5;3;2;1
2024;841;1;121,85387;01;01059;1;05;1;1;;1;3;1;1;8;8;9;8;8;7;6;97;;8;1;1;4;5;1;5;2;8;6;6;6;1;7;8;8;8;6;3;1;1
2024;842;1;365,56162;01;01059;1;05;1;1;;3;3;4;2;7;7;7;7;7;6;7;97;;5;1;1;3;4;3;4;3;6;0;4;4;2;7;7;6;7;3;1;3;1
2024;844;1;142,43972;01;01059;6;06;1;1;;3;3;1;1;9;8;8;8;9;5;4;97;;9;1;1;4;4;2;4;2;6;3;2;5;3;6;8;7;8;3;1;2;4
2024;845;2;324,93427;01;01059;1;04;1;1;;1;3;5;4;7;7;7;7;7;7;7;97;;7;1;1;3;5;4;5;1;10;5;5;5;2;7;7;7;7;5;3;3;1
